Word,Part-of-Speech,Definition,whether_core,whether_general,whether_spoken,whether_fiction,whether_newspapers,whether_web
de,art,the,True,False,False,False,False,False
en,conj,and,True,False,False,False,False,False
in,prep,in,True,False,False,False,False,False
van,prep,of,True,False,False,False,False,False
op,prep,on,True,False,False,False,False,False
zijn,verb,to be,True,False,False,False,False,False
"het, ’t",1) art 2) pron,1) the 2) it,True,False,False,False,False,False
een,art,a,True,False,False,False,False,False
voor,prep,a) for b) in front of,True,False,False,False,False,False
die,pron,"a) that, those b) that, who",True,False,False,False,False,False
met,prep,with,True,False,False,False,False,False
te,prep,to,True,False,False,False,False,False
hebben,verb,to have,True,False,False,False,False,False
niet,adv,not,True,False,False,False,False,False
aan,prep,to,True,False,False,False,False,False
ook,adv,also,True,False,False,False,False,False
er,adv,there,True,False,False,False,False,False
als,conj,when,True,False,False,False,False,False
veel,num,much,True,False,False,False,False,False
kunnen,verb,to be able,True,False,False,False,False,False
dat,conj,that,True,False,False,False,False,False
om,prep,(a)round,True,False,False,False,False,False
worden,verb,to be,True,False,False,False,False,False
dat,pron,that,True,False,False,False,False,False
nog,adv,still,True,False,False,False,False,False
maar,conj,but,True,False,False,False,False,False
bij,prep,near (to),True,False,False,False,False,False
"zij, ze",pron,a) she b) they,True,False,False,False,False,False
naar,prep,to,True,False,False,False,False,False
uit,prep,from,True,False,False,False,False,False
gaan,verb,to go,True,False,False,False,False,False
komen,verb,to come,True,False,False,False,False,False
zullen,verb,will,True,False,False,False,False,False
of,conj,or,True,False,False,False,False,False
over,prep,a) over b) about,True,False,False,False,False,False
moeten,verb,"to have to, must",True,False,False,False,False,False
door,prep,through,True,False,False,False,False,False
al,adv,already,True,False,False,False,False,False
geen,pron,no,True,False,False,False,False,False
dan,adv,then,True,False,False,False,False,False
goed,adj,good,True,False,False,False,False,False
wel,adv,~ rather,True,False,False,False,False,False
maken,verb,a) to make b) to repair,True,False,False,False,False,False
tot,prep,to,True,False,False,False,False,False
hij,pron,he,True,False,False,False,False,False
wat,pron,what,True,False,False,False,False,False
zo,adv,so,True,False,False,False,False,False
nu,adv,now,True,False,False,False,False,False
"zijn, z’n",pron,his,True,False,False,False,False,False
jaar,"noun, het",year,True,False,False,False,False,False
ander,adj,other,True,False,False,False,False,False
doen,verb,to do,True,False,False,False,False,False
dit,pron,this,True,False,False,False,False,False
willen,verb,to want,True,False,False,False,False,False
zich,pron,"herself, himself, itself, themselves",True,False,False,False,False,False
staan,verb,to stand,True,False,False,False,False,False
zien,verb,to see,True,False,False,False,False,False
zeggen,verb,to say,True,False,False,False,False,False
krijgen,verb,to get,True,False,False,False,False,False
"wij, we",pron,we,True,False,False,False,False,False
groot,adj,a) big b) great,True,False,False,False,False,False
na,prep,after,True,False,False,False,False,False
hun,pron,a) their b) (to) them,True,False,False,False,False,False
ik,pron,I,True,False,False,False,False,False
deze,pron,"this, these",True,False,False,False,False,False
daar,adv,there,True,False,False,False,False,False
"jij, je",pron,you,True,False,False,False,False,False
vinden,verb,to find,True,False,False,False,False,False
laten,verb,to let,True,False,False,False,False,False
al,pron,all,True,False,False,False,False,False
tegen,prep,"against, towards",True,False,False,False,False,False
twee,num,two,True,False,False,False,False,False
"een, één",num,one,True,False,False,False,False,False
heel,adj,whole,True,False,False,False,False,False
geven,verb,to give,True,False,False,False,False,False
blijven,verb,to remain,True,False,False,False,False,False
waar,adv,where,True,False,False,False,False,False
toch,adv,yet,True,False,False,False,False,False
